,title,artist,duration_ms,explicit,popularity,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,analysis_url
6209,Love Myself,Hailee Steinfeld,218773,False,69,spotify:track:36phXHOKx8rO7CMp2vNX4x,0.617,0.759,0,-6.785,0,0.0678,0.0026,0.0,0.419,0.324,122.924,https://api.spotify.com/v1/tracks/36phXHOKx8rO7CMp2vNX4x,https://api.spotify.com/v1/audio-analysis/36phXHOKx8rO7CMp2vNX4x
6210,Love Incredible (feat. Camila Cabello),Cashmere Cat,179145,False,0,spotify:track:4loEQAPpwyNLB4ZFovIORY,0.326,0.508,10,-8.837,0,0.148,0.0501,0.0,0.264,0.194,167.049,https://api.spotify.com/v1/tracks/4loEQAPpwyNLB4ZFovIORY,https://api.spotify.com/v1/audio-analysis/4loEQAPpwyNLB4ZFovIORY
6211,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,252534,False,51,spotify:track:2l8w0zZVn4AZNuzrht7MRT,0.475,0.606,8,-6.646,1,0.0346,0.247,0.0,0.125,0.282,94.994,https://api.spotify.com/v1/tracks/2l8w0zZVn4AZNuzrht7MRT,https://api.spotify.com/v1/audio-analysis/2l8w0zZVn4AZNuzrht7MRT
6212,Love & War,Yellow Claw,180150,False,0,spotify:track:5Inwldl7icx3DukqwzuMMC,0.577,0.911,1,-4.449,1,0.0512,0.0186,0.0587,0.159,0.543,160.036,https://api.spotify.com/v1/tracks/5Inwldl7icx3DukqwzuMMC,https://api.spotify.com/v1/audio-analysis/5Inwldl7icx3DukqwzuMMC
6213,Love on the Weekend,John Mayer,212626,False,61,spotify:track:0j2WBxWZnWti5TpSxjJvPb,0.729,0.546,7,-9.305,1,0.0285,0.547,0.00287,0.0651,0.406,119.941,https://api.spotify.com/v1/tracks/0j2WBxWZnWti5TpSxjJvPb,https://api.spotify.com/v1/audio-analysis/0j2WBxWZnWti5TpSxjJvPb
6214,Love Triangle,RaeLynn,224533,False,28,spotify:track:6EJMBO60yYTS5YOXTqPhka,0.684,0.541,2,-6.057,1,0.0329,0.152,0.0,0.11,0.337,132.909,https://api.spotify.com/v1/tracks/6EJMBO60yYTS5YOXTqPhka,https://api.spotify.com/v1/audio-analysis/6EJMBO60yYTS5YOXTqPhka
6215,Love Yourz,J. Cole,211680,True,28,spotify:track:4gkl7QbQvBd3TM9PhlWFkI,0.502,0.623,8,-8.812,1,0.44,0.609,0.0,0.119,0.399,75.578,https://api.spotify.com/v1/tracks/4gkl7QbQvBd3TM9PhlWFkI,https://api.spotify.com/v1/audio-analysis/4gkl7QbQvBd3TM9PhlWFkI
6216,Love Me Harder,Ariana Grande,236133,False,73,spotify:track:5J4ZkQpzMUFojo1CtAZYpn,0.472,0.714,1,-4.389,0,0.0334,0.00937,0.0,0.0764,0.24,98.992,https://api.spotify.com/v1/tracks/5J4ZkQpzMUFojo1CtAZYpn,https://api.spotify.com/v1/audio-analysis/5J4ZkQpzMUFojo1CtAZYpn
6217,Lovesick,Caroline Pennell,234693,False,0,spotify:track:166xnBZgCvakq3BceLJIKj,0.74,0.583,9,-7.095,0,0.0312,0.116,0.000774,0.238,0.346,101.011,https://api.spotify.com/v1/tracks/166xnBZgCvakq3BceLJIKj,https://api.spotify.com/v1/audio-analysis/166xnBZgCvakq3BceLJIKj
6218,Lovefool - Radio Edit,The Cardigans,193893,False,62,spotify:track:0u4htORODiTK9vHVA89MQX,0.64,0.602,9,-7.902,1,0.0299,0.0646,0.0,0.375,0.951,111.87,https://api.spotify.com/v1/tracks/0u4htORODiTK9vHVA89MQX,https://api.spotify.com/v1/audio-analysis/0u4htORODiTK9vHVA89MQX
